timestamp,temp,feels_like,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,clouds_coverage,weather_category,weather_description
1702731600,23.02000000000004,23.680000000000007,1017,88,21.670000000000016,23.900000000000034,29.628000000000004,90,100,Clouds,Clouds
1702735200,23.55000000000001,24.210000000000036,1018,86,22.78000000000003,24.010000000000048,27.791999999999998,90,100,Clouds,Clouds
1702738800,23.920000000000016,24.590000000000032,1018,85,23.33000000000004,24.450000000000045,31.5,100,100,Clouds,Clouds
1702742400,23.720000000000027,24.420000000000016,1017,87,23.33000000000004,24.439999999999998,33.336,100,100,Clouds,Clouds
1702746000,23.28000000000003,23.99000000000001,1015,89,22.230000000000018,24.010000000000048,42.588,100,100,Clouds,Clouds
1702749600,22.879999999999995,23.629999999999995,1014,92,22.220000000000027,23.340000000000032,38.88,100,100,Rain,Rain
1702753200,23.24000000000001,24.0,1013,91,22.220000000000027,24.010000000000048,31.5,110,100,Rain,Rain
1702756800,22.810000000000002,23.55000000000001,1013,92,22.220000000000027,23.340000000000032,33.336,100,100,Rain,Rain
1702760400,22.670000000000016,23.450000000000045,1012,94,21.110000000000014,23.340000000000032,33.336,120,100,Rain,Rain
1702764000,22.960000000000036,23.74000000000001,1012,93,22.0,23.340000000000032,31.5,110,100,Rain,Rain
1702767600,23.30000000000001,24.060000000000002,1011,91,22.78000000000003,24.010000000000048,33.336,120,100,Rain,Rain
1702771200,22.80000000000001,23.510000000000048,1011,91,22.220000000000027,23.340000000000032,25.92,130,100,Rain,Rain
1702774800,23.03000000000003,23.82000000000005,1010,93,22.230000000000018,23.340000000000032,31.5,130,100,Rain,Rain
1702778400,22.660000000000025,23.360000000000014,1010,91,22.220000000000027,23.340000000000032,31.5,140,100,Clouds,Clouds
1702782000,23.129999999999995,23.850000000000023,1010,90,22.220000000000027,24.0,33.336,150,100,Rain,Rain
1702785600,22.450000000000045,23.210000000000036,1009,94,22.0,23.010000000000048,35.172,160,100,Rain,Rain
1702789200,22.80000000000001,23.590000000000032,1009,94,22.230000000000018,23.340000000000032,25.92,150,75,Clouds,Clouds
1702792800,22.810000000000002,23.600000000000023,1008,94,22.230000000000018,23.340000000000032,20.376,140,100,Mist,Mist
1702796400,22.950000000000045,23.78000000000003,1007,95,22.010000000000048,23.340000000000032,27.791999999999998,150,100,Mist,Mist
1702800000,23.260000000000048,24.120000000000005,1006,95,22.230000000000018,24.010000000000048,24.084000000000003,170,100,Clouds,Clouds
1702803600,23.640000000000043,24.410000000000025,1005,90,22.78000000000003,24.450000000000045,24.084000000000003,180,100,Clouds,Clouds
1702807200,23.660000000000025,24.460000000000036,1005,91,22.79000000000002,24.439999999999998,24.084000000000003,180,100,Clouds,Clouds
1702810800,23.650000000000034,24.450000000000045,1004,91,22.79000000000002,24.439999999999998,27.791999999999998,180,75,Clouds,Clouds
1702814400,23.730000000000018,24.53000000000003,1005,91,23.010000000000048,24.439999999999998,27.791999999999998,190,75,Clouds,Clouds
1702818000,23.650000000000034,24.53000000000003,1005,94,23.010000000000048,24.450000000000045,20.376,200,100,Clouds,Clouds
1702821600,23.74000000000001,24.57000000000005,1005,92,23.010000000000048,24.450000000000045,22.212,200,100,Clouds,Clouds
1702825200,23.379999999999995,24.150000000000034,1006,91,22.0,24.450000000000045,22.212,220,75,Rain,Rain
1702828800,23.53000000000003,24.24000000000001,1006,88,22.210000000000036,25.010000000000048,18.503999999999998,220,75,Clouds,Clouds
1702832400,25.370000000000005,26.03000000000003,1005,79,23.890000000000043,26.680000000000007,27.791999999999998,250,75,Clouds,Clouds
1702836000,25.52000000000004,25.980000000000018,1004,71,24.439999999999998,26.120000000000005,24.084000000000003,260,40,Clouds,Clouds
1702839600,25.32000000000005,25.74000000000001,1004,70,24.450000000000045,26.110000000000014,33.336,260,75,Clouds,Clouds
1702843200,25.230000000000018,25.610000000000014,1004,69,24.0,26.100000000000023,27.791999999999998,250,40,Clouds,Clouds
1702846800,24.360000000000014,24.600000000000023,1005,67,23.33000000000004,25.010000000000048,29.628000000000004,290,40,Clouds,Clouds
1702850400,22.980000000000018,23.160000000000025,1006,70,22.220000000000027,23.340000000000032,20.376,290,40,Clouds,Clouds
1702854000,21.700000000000045,21.860000000000014,1006,74,20.560000000000002,22.230000000000018,12.96,290,20,Clouds,Clouds
1702857600,20.950000000000045,21.090000000000032,1007,76,20.0,21.680000000000007,16.668,280,0,Clear,Clear
1702861200,19.930000000000007,19.99000000000001,1009,77,18.890000000000043,20.57000000000005,16.668,290,0,Clear,Clear
1702864800,19.29000000000002,19.340000000000032,1010,79,18.33000000000004,20.010000000000048,16.668,290,0,Clear,Clear
1702868400,18.670000000000016,18.680000000000007,1010,80,17.220000000000027,19.439999999999998,9.251999999999999,290,0,Clear,Clear
1702872000,18.27000000000004,18.29000000000002,1010,82,17.230000000000018,19.010000000000048,9.251999999999999,290,0,Clear,Clear
1702875600,17.75,17.80000000000001,1010,85,16.680000000000007,18.33000000000004,9.251999999999999,0,20,Clouds,Clouds
1702879200,17.200000000000045,17.27000000000004,1010,88,16.0,18.010000000000048,14.832,300,0,Clear,Clear
1702882800,16.760000000000048,16.840000000000032,1011,90,15.560000000000002,17.78000000000003,18.503999999999998,300,0,Clear,Clear
1702886400,16.480000000000018,16.53000000000003,1011,90,15.0,17.230000000000018,7.416,290,0,Clear,Clear
1702890000,16.060000000000002,16.100000000000023,1011,91,14.439999999999998,17.220000000000027,5.5440000000000005,280,0,Clear,Clear
1702893600,15.640000000000043,15.610000000000014,1011,90,13.900000000000034,17.010000000000048,5.5440000000000005,290,0,Clear,Clear
1702897200,15.220000000000027,15.200000000000045,1011,92,13.900000000000034,16.100000000000023,5.5440000000000005,260,0,Clear,Clear
1702900800,14.660000000000025,14.560000000000002,1013,91,12.78000000000003,16.100000000000023,1.62,325,0,Clear,Clear
1702904400,15.980000000000018,16.060000000000002,1013,93,14.450000000000045,17.220000000000027,7.416,280,20,Clouds,Clouds
1702908000,17.950000000000045,18.07000000000005,1014,87,16.670000000000016,19.010000000000048,14.832,310,20,Clouds,Clouds
1702911600,19.670000000000016,19.680000000000007,1015,76,18.33000000000004,20.57000000000005,14.832,320,20,Clouds,Clouds
1702915200,21.29000000000002,21.25,1014,68,19.439999999999998,22.230000000000018,16.668,300,20,Clouds,Clouds
1702918800,21.710000000000036,21.689999999999998,1013,67,20.0,23.0,18.503999999999998,280,40,Clouds,Clouds
1702922400,22.379999999999995,22.340000000000032,1013,64,20.57000000000005,23.340000000000032,20.376,280,75,Clouds,Clouds
1702926000,22.480000000000018,22.430000000000007,1012,63,21.010000000000048,23.900000000000034,22.212,270,40,Clouds,Clouds
1702929600,22.83000000000004,22.74000000000001,1012,60,21.110000000000014,23.900000000000034,8.064000000000002,316,40,Clouds,Clouds
1702933200,22.79000000000002,22.670000000000016,1012,59,21.670000000000016,23.900000000000034,11.124,0,40,Clouds,Clouds
1702936800,21.79000000000002,21.620000000000005,1012,61,20.560000000000002,22.230000000000018,14.832,290,40,Clouds,Clouds
1702940400,20.200000000000045,20.03000000000003,1013,67,18.33000000000004,21.010000000000048,12.96,280,40,Clouds,Clouds
1702944000,18.83000000000004,18.49000000000001,1014,66,17.220000000000027,19.450000000000045,18.503999999999998,310,0,Clear,Clear
1702947600,17.52000000000004,17.160000000000025,1015,70,15.560000000000002,18.879999999999995,9.251999999999999,290,0,Clear,Clear
1702951200,16.640000000000043,16.29000000000002,1015,74,15.560000000000002,17.78000000000003,9.251999999999999,300,0,Clear,Clear
1702954800,16.060000000000002,15.78000000000003,1016,79,14.439999999999998,17.220000000000027,9.251999999999999,290,0,Clear,Clear
1702958400,15.53000000000003,15.28000000000003,1016,82,14.0,16.120000000000005,12.96,300,0,Clear,Clear
1702962000,14.900000000000034,14.590000000000032,1016,82,13.890000000000043,15.57000000000005,4.824000000000001,311,0,Clear,Clear
1702965600,14.29000000000002,13.970000000000027,1016,84,12.78000000000003,15.010000000000048,11.124,320,0,Clear,Clear
1702969200,14.140000000000043,13.830000000000041,1017,85,12.78000000000003,15.010000000000048,22.212,310,0,Clear,Clear
1702972800,13.610000000000014,13.300000000000011,1017,87,12.0,14.450000000000045,11.124,310,0,Clear,Clear
1702976400,13.189999999999998,12.840000000000032,1017,87,12.0,14.010000000000048,14.832,310,0,Clear,Clear
1702980000,12.910000000000025,12.5,1017,86,11.670000000000016,13.340000000000032,11.124,0,0,Clear,Clear
1702983600,12.360000000000014,11.770000000000039,1018,81,11.670000000000016,13.010000000000048,14.832,340,0,Clear,Clear
1702987200,12.25,11.54000000000002,1019,77,11.110000000000014,13.010000000000048,14.832,340,0,Clear,Clear
1702990800,12.900000000000034,12.180000000000007,1019,74,11.670000000000016,13.890000000000043,12.96,330,20,Clouds,Clouds
1702994400,14.810000000000002,14.230000000000018,1020,72,13.330000000000041,16.120000000000005,12.96,330,20,Clouds,Clouds
1702998000,16.970000000000027,16.5,1020,68,15.560000000000002,17.79000000000002,16.668,320,20,Clouds,Clouds
1703001600,18.360000000000014,18.0,1020,67,16.670000000000016,19.450000000000045,14.832,330,20,Clouds,Clouds
1703005200,19.960000000000036,19.710000000000036,1020,65,17.78000000000003,21.120000000000005,12.96,350,20,Clouds,Clouds
1703008800,21.33000000000004,21.160000000000025,1019,63,20.0,22.230000000000018,16.668,350,20,Clouds,Clouds
1703012400,22.350000000000023,22.210000000000036,1018,60,21.110000000000014,23.340000000000032,18.503999999999998,350,20,Clouds,Clouds
1703016000,22.52000000000004,22.420000000000016,1018,61,21.110000000000014,23.900000000000034,12.96,30,20,Clouds,Clouds
1703019600,22.260000000000048,22.110000000000014,1018,60,21.110000000000014,23.340000000000032,12.96,320,40,Clouds,Clouds
1703023200,21.220000000000027,20.99000000000001,1019,61,20.0,22.220000000000027,12.96,340,40,Clouds,Clouds
1703026800,19.460000000000036,19.110000000000014,1020,63,18.33000000000004,20.010000000000048,3.204,347,0,Clear,Clear
1703030400,18.78000000000003,18.52000000000004,1021,69,17.78000000000003,19.430000000000007,16.668,360,0,Clear,Clear
1703034000,17.950000000000045,17.710000000000036,1021,73,16.110000000000014,19.0,18.503999999999998,360,0,Clear,Clear
1703037600,17.090000000000032,16.810000000000002,1022,75,15.560000000000002,18.0,14.832,350,0,Clear,Clear
1703041200,15.910000000000025,15.650000000000034,1022,80,14.439999999999998,17.0,14.832,360,0,Clear,Clear
1703044800,15.410000000000025,15.07000000000005,1022,79,13.890000000000043,16.010000000000048,9.251999999999999,350,0,Clear,Clear
1703048400,14.689999999999998,14.300000000000011,1022,80,13.330000000000041,15.010000000000048,7.416,0,20,Clouds,Clouds
1703052000,13.950000000000045,13.54000000000002,1022,82,12.79000000000002,15.0,11.124,350,20,Clouds,Clouds
1703055600,13.53000000000003,13.210000000000036,1022,87,13.0,14.010000000000048,11.124,350,40,Clouds,Clouds
1703059200,17.32000000000005,17.04000000000002,1021,74,13.0,19.99000000000001,6.444,329,75,Clouds,Clouds
1703062800,17.430000000000007,17.189999999999998,1021,75,13.0,20.010000000000048,9.251999999999999,300,75,Clouds,Clouds
1703066400,17.910000000000025,17.640000000000043,1021,72,14.0,20.010000000000048,8.064000000000002,360,75,Clouds,Clouds
1703070000,19.100000000000023,18.840000000000032,1021,68,16.010000000000048,20.55000000000001,6.444,23,75,Clouds,Clouds
1703073600,19.460000000000036,19.180000000000007,1023,66,17.010000000000048,20.560000000000002,9.251999999999999,320,75,Clouds,Clouds
1703077200,19.82000000000005,19.55000000000001,1023,65,17.78000000000003,20.57000000000005,8.064000000000002,5,75,Clouds,Clouds
1703080800,20.060000000000002,19.77000000000004,1024,63,17.78000000000003,21.010000000000048,16.668,60,75,Clouds,Clouds
1703084400,20.460000000000036,20.129999999999995,1025,60,18.890000000000043,21.120000000000005,18.503999999999998,110,100,Clouds,Clouds
1703088000,21.05000000000001,20.879999999999995,1025,64,20.0,22.230000000000018,24.084000000000003,50,100,Clouds,Clouds
1703091600,20.930000000000007,20.650000000000034,1024,60,20.0,22.010000000000048,18.503999999999998,60,75,Clouds,Clouds
1703095200,20.980000000000018,20.75,1023,62,20.0,21.680000000000007,27.791999999999998,80,100,Clouds,Clouds
1703098800,20.879999999999995,20.640000000000043,1023,62,20.560000000000002,21.120000000000005,27.791999999999998,60,100,Clouds,Clouds
1703102400,21.010000000000048,20.79000000000002,1023,62,20.0,22.0,22.212,60,100,Clouds,Clouds
1703106000,20.850000000000023,20.660000000000025,1022,64,20.0,21.120000000000005,25.92,40,100,Clouds,Clouds
1703109600,20.700000000000045,20.439999999999998,1023,62,20.0,21.120000000000005,18.503999999999998,40,100,Clouds,Clouds
1703113200,20.610000000000014,20.400000000000034,1023,64,20.0,21.120000000000005,11.124,40,75,Clouds,Clouds
1703116800,20.700000000000045,20.5,1023,64,20.0,21.120000000000005,20.376,40,100,Clouds,Clouds
1703120400,20.680000000000007,20.5,1023,65,20.0,21.120000000000005,22.212,50,100,Clouds,Clouds
1703124000,20.600000000000023,20.410000000000025,1024,65,20.0,21.110000000000014,18.503999999999998,40,100,Clouds,Clouds
1703127600,20.689999999999998,20.49000000000001,1024,64,20.0,21.120000000000005,18.503999999999998,50,100,Clouds,Clouds
1703131200,20.75,20.5,1024,62,20.0,21.120000000000005,20.376,50,75,Clouds,Clouds
1703134800,20.700000000000045,20.470000000000027,1023,63,20.0,21.120000000000005,16.668,60,75,Clouds,Clouds
1703138400,20.700000000000045,20.470000000000027,1023,63,20.0,21.120000000000005,20.376,60,75,Clouds,Clouds
1703142000,20.710000000000036,20.480000000000018,1022,63,19.439999999999998,21.120000000000005,14.832,50,75,Clouds,Clouds
1703145600,20.78000000000003,20.53000000000003,1022,62,20.0,21.120000000000005,18.503999999999998,70,75,Clouds,Clouds
1703149200,20.79000000000002,20.54000000000002,1022,62,19.450000000000045,21.120000000000005,16.668,60,75,Clouds,Clouds
1703152800,20.730000000000018,20.53000000000003,1022,64,20.0,21.120000000000005,14.832,40,75,Clouds,Clouds
1703156400,20.760000000000048,20.560000000000002,1023,64,19.439999999999998,21.120000000000005,12.96,60,100,Clouds,Clouds
1703160000,20.850000000000023,20.610000000000014,1024,62,19.439999999999998,21.670000000000016,16.668,70,75,Clouds,Clouds
1703163600,20.910000000000025,20.680000000000007,1024,62,19.439999999999998,21.680000000000007,9.251999999999999,40,75,Clouds,Clouds
1703167200,21.430000000000007,21.220000000000027,1024,61,20.560000000000002,22.010000000000048,16.668,50,75,Clouds,Clouds
